 ****** HSPICE -- O-2018.09-SP2-2 linux64 (May  9 2019) ******
  Copyright (c) 1986 - 2020 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
vw,wm,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.2643658,0.05551687,-3.290527,-4.895247,-2.599759
0.2843213,0.06540664,-2.967738,-3.69972,-2.489258
0.2843553,0.06545311,-2.807034,-3.342036,-2.409629
0.2843887,0.06545337,-2.696844,-3.13969,-2.346205
0.2844146,0.0654541,-2.612054,-2.999605,-2.292977
0.2844172,0.06545513,-2.542699,-2.892598,-2.246832
0.2844234,0.06545965,-2.483769,-2.805987,-2.20593
0.2844364,0.06546081,-2.432379,-2.733174,-2.169082
0.2844379,0.06546268,-2.386708,-2.670302,-2.135475
0.2845343,0.06546282,-2.345531,-2.614929,-2.104524
0.2845351,0.06546866,-2.307984,-2.56541,-2.075792
0.2845373,0.06547235,-2.273435,-2.520588,-2.048948
0.2941012,0.06548212,-2.241403,-2.479619,-2.023729
0.294255,0.06548518,-2.211518,-2.441866,-1.999926
0.2942777,0.06549311,-2.183487,-2.406839,-1.977369
0.2943125,0.06549358,-2.157073,-2.374152,-1.955918
0.2943231,0.06550099,-2.132083,-2.343497,-1.935455
0.2943255,0.06550302,-2.108358,-2.31462,-1.915882
0.2943405,0.06550343,-2.085764,-2.287316,-1.897114
0.2943421,0.06551,-2.064187,-2.261411,-1.879078
0.2943546,0.06551023,-2.04353,-2.236759,-1.861712
0.2943603,0.06551166,-2.02371,-2.213237,-1.844961
0.2943697,0.06551692,-2.004654,-2.190737,-1.828776
0.2943717,0.06552531,-1.9863,-2.169169,-1.813115
0.2943896,0.06552573,-1.968592,-2.148452,-1.79794
0.2943939,0.06552667,-1.95148,-2.128516,-1.783218
0.2944025,0.06552678,-1.934921,-2.109299,-1.768917
0.2944156,0.06553237,-1.918876,-2.090748,-1.755011
0.2944422,0.06553384,-1.903311,-2.072812,-1.741475
0.2944466,0.06553489,-1.888193,-2.055449,-1.728286
0.2944469,0.06553874,-1.873495,-2.038621,-1.715426
0.2944472,0.06553882,-1.859191,-2.022291,-1.702874
0.2944485,0.06553896,-1.845258,-2.006429,-1.690614
0.2944502,0.06554143,-1.831674,-1.991005,-1.678631
0.2944509,0.06554778,-1.81842,-1.975993,-1.666909
0.2944517,0.06554938,-1.805477,-1.96137,-1.655437
